"ID","Description","Account type","DIMLIST","DRCRRECLASS","Offset account used in US Eliminations","EQUITYRCLS","EVDES_ENG","FA_01","FA_02","FA_03","FA_04","FA_05","FA_XX","INTERCO","MISC_CHECK","Rate type","RECLASS250","RECLASS253","RECLASS256","RECLASS258","RECLASS264","RECLASS265","RECLASS266","Scaling","Elimination Code","H1"
"25100000","Bank Overdrafts","LEQ","","","","","Bank Overdrafts","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"25109500","Hotel Monroe Clearing","LEQ","","","","","Hotel Monroe Clearing","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"25500000","Loans Payable 90 Days or Less","LEQ","","","","","Loans Payable 90 Days or Less","","","","","","","","","ENDDE","","","","","","","","","","L87_LIABILITIESBANKS"
"25600000","Loans Payable (Greater than 90 days)","LEQ","","","","","Loans Payable (Greater than 90 days)","","","","","","","","","ENDDE","","","","","","","","","","L87_LIABILITIESBANKS"
"25609599","ECCS Edit Corrections","LEQ","","","","","ECCS Edit Corrections","","","","","","","","","ENDDE","","","","","","","","","","L87_LIABILITIESBANKS"
"25800010","Short-term portion of USD term loan","LEQ","","","","","Short-term portion of USD term loan","","","","","","","","","ENDDE","","","","","","","","","","L87_LIABILITIESBANKS"
"27100001","Goods Rec/Invoice Rec Clearing Account","LEQ","","","","","Goods Rec/Invoice Rec Clearing Account","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100002","Goods Rec/Invoice Rec Correction Account","LEQ","","","","","Goods Rec/Invoice Rec Correction Account","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100003","Goods Received/Not Invoiced","LEQ","","","","","Goods Received/Not Invoiced","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100005","Consigned Liability","LEQ","","","","","Consigned Liability","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100033","Corrections for Devaluation of Receivables","LEQ","","","","","Corrections for Devaluation of Receivables","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100050","Purchase Inventory Receipts - Customer Equipment","LEQ","","","","","Purchase Inventory Receipts - Customer Equipment","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100051","Trade Payables Not Yet Booked Invoices","LEQ","","","","","Trade Payables Not Yet Booked Invoices","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100052","Reconciliation Sealed Air GA/GS","LEQ","","","","","Reconciliation Sealed Air GA/GS","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100053","Reconciliation Sealed Air Canteen","LEQ","","","","","Reconciliation Sealed Air Canteen","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100054","Reconciliation Sealed Air Power Expenses","LEQ","","","","","Reconciliation Sealed Air Power Expenses","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100055","Reconciliation Sealed Air Maintenance","LEQ","","","","","Reconciliation Sealed Air Maintenance","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100065","Fixed Assets Reserve","LEQ","","","","","Fixed Assets Reserve","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
"27100500","Trade Payables FX Revaluation","LEQ","","","","","Trade Payables FX Revaluation","","","","","","","","","ENDDE","","","","","","","","","","L89_LIABILITIESTRADE"
